ID, filename, class, occupation, is_female, is_poc, human_annotated 
0, occupations/S_biologist_0.jpg, 1, biologist, -1, -1, 0 
1, occupations/S_biologist_1.jpg, 1, biologist, -1, -1, 0 
2, occupations/S_biologist_2.jpg, 1, biologist, -1, -1, 0 
3, occupations/S_biologist_3.jpg, 1, biologist, -1, -1, 0 
4, occupations/S_biologist_4.jpg, 1, biologist, -1, -1, 0 
5, occupations/S_biologist_5.jpg, 1, biologist, -1, -1, 0 
6, occupations/S_biologist_6.jpg, 1, biologist, -1, -1, 0 
7, occupations/S_biologist_7.jpg, 1, biologist, -1, -1, 0 
8, occupations/S_biologist_8.jpg, 1, biologist, -1, -1, 0 
9, occupations/S_biologist_9.jpg, 1, biologist, -1, -1, 0 
10, occupations/S_biologist_10.jpg, 1, biologist, -1, -1, 0 
11, occupations/S_biologist_11.jpg, 1, biologist, -1, -1, 0 
12, occupations/S_biologist_12.jpg, 1, biologist, -1, -1, 0 
13, occupations/S_biologist_13.jpg, 1, biologist, -1, -1, 0 
14, occupations/S_biologist_14.jpg, 1, biologist, -1, -1, 0 
15, occupations/S_biologist_15.jpg, 1, biologist, -1, -1, 0 
16, occupations/S_biologist_16.jpg, 1, biologist, -1, -1, 0 
17, occupations/S_biologist_17.jpg, 1, biologist, -1, -1, 0 
18, occupations/S_biologist_18.jpg, 1, biologist, -1, -1, 0 
19, occupations/S_biologist_19.jpg, 1, biologist, -1, -1, 0 
20, occupations/S_biologist_20.jpg, 1, biologist, -1, -1, 0 
21, occupations/S_biologist_21.jpg, 1, biologist, -1, -1, 0 
22, occupations/S_biologist_22.jpg, 1, biologist, -1, -1, 0 
23, occupations/S_biologist_23.jpg, 1, biologist, -1, -1, 0 
24, occupations/S_biologist_24.jpg, 1, biologist, -1, -1, 0 
25, occupations/S_biologist_25.jpg, 1, biologist, -1, -1, 0 
26, occupations/S_biologist_26.jpg, 1, biologist, -1, -1, 0 
27, occupations/S_biologist_27.jpg, 1, biologist, -1, -1, 0 
28, occupations/S_biologist_28.jpg, 1, biologist, -1, -1, 0 
29, occupations/S_biologist_29.jpg, 1, biologist, -1, -1, 0 
30, occupations/S_biologist_30.jpg, 1, biologist, -1, -1, 0 
31, occupations/S_biologist_31.jpg, 1, biologist, -1, -1, 0 
